Scrap_ID,NO_of_Scrap,scrap_issue_id,created_date,updated_date
00197,3,2,2024-01-06,2024-06-06
00197,1,1,2024-01-06,2024-06-06
00198,0,5,2024-01-06,2024-06-06
00199,1,1,2024-01-06,2024-06-06
00200,0,5,2024-01-06,2024-06-06
00201,3,1,2024-01-06,2024-06-06
00202,0,5,2024-01-06,2024-06-06
00203,0,5,2024-01-06,2024-06-06
00204,1,2,2024-01-06,2024-06-06
00205,0,5,2024-01-06,2024-06-06
00206,0,5,2024-01-06,2024-06-06
00207,0,5,2024-01-06,2024-06-06
00208,0,5,2024-01-06,2024-06-06
00209,0,5,2024-01-06,2024-06-06
00210,0,5,2024-01-06,2024-06-06
00211,0,5,2024-01-06,2024-06-06
00212,1,2,2024-01-06,2024-06-06
00213,0,5,2024-01-06,2024-06-06
00214,0,5,2024-01-06,2024-06-06
00215,0,5,2024-01-06,2024-06-06
00216,0,5,2024-01-06,2024-06-06
00217,0,5,2024-01-06,2024-06-06
00218,0,5,2024-01-06,2024-06-06
00219,0,5,2024-01-06,2024-06-06
00220,0,5,2024-01-06,2024-06-06
00221,1,2,2024-01-06,2024-06-06
00222,3,1,2024-01-06,2024-06-06
00222,2,4,2024-01-06,2024-06-06
00222,1,2,2024-01-06,2024-06-06
00223,0,5,2024-01-06,2024-06-06
00224,0,5,2024-01-06,2024-06-06
00225,0,5,2024-01-06,2024-06-06
00226,0,5,2024-01-06,2024-06-06
00227,5,1,2024-01-06,2024-06-06
00228,3,2,2024-01-06,2024-06-06
00229,0,5,2024-01-06,2024-06-06
00230,0,5,2024-01-06,2024-06-06
00231,0,5,2024-01-06,2024-06-06
00232,0,5,2024-01-06,2024-06-06
00233,2,1,2024-01-06,2024-06-06
00233,1,3,2024-01-06,2024-06-06
00233,2,2,2024-01-06,2024-06-06
00234,3,1,2024-01-06,2024-06-06
00235,0,5,2024-01-06,2024-06-06
00236,0,5,2024-01-06,2024-06-06
00237,4,1,2024-01-06,2024-06-06
00237,1,3,2024-01-06,2024-06-06
00237,1,4,2024-01-06,2024-06-06
00238,1,1,2024-01-06,2024-06-06
00054,4,1,2024-01-06,2024-06-06
00055,2,4,2024-01-06,2024-06-06
00056,3,1,2024-01-06,2024-06-06
00057,4,2,2024-01-06,2024-06-06
00058,4,1,2024-01-06,2024-06-06
00059,9,1,2024-01-06,2024-06-06
00060,0,5,2024-01-06,2024-06-06
00061,0,5,2024-01-06,2024-06-06
00062,0,5,2024-01-06,2024-06-06
00063,0,5,2024-01-06,2024-06-06
00064,1,1,2024-01-06,2024-06-06
00065,1,4,2024-01-06,2024-01-06
00065,4,2,2024-01-06,2024-01-06
00065,9,1,2024-01-06,2024-01-06
00066,10,1,2024-01-06,2024-01-06
00067,7,3,2024-01-06,2024-01-06
00068,9,4,2024-01-06,2024-01-06
00069,3,3,2024-01-06,2024-01-06
00070,1,2,2024-01-06,2024-01-06
00071,1,2,2024-01-06,2024-01-06
00072,0,5,2024-01-06,2024-06-06
00073,0,5,2024-01-06,2024-06-06
00074,0,5,2024-01-06,2024-06-06
00075,0,5,2024-01-06,2024-06-06
00076,0,5,2024-01-06,2024-06-06
00077,3,1,2024-01-06,2024-01-06
